SOURCE_ID	RA_ICRS [deg]	Dec_ICRS [deg]	Flux [Jy]	Frequency [Hz]
HERATEST0	161.39201	-42.513649	1	100000000.0
HERATEST1	160.053699	-42.557996	1	100000000.0
HERATEST2	158.713924	-42.589949	1	100000000.0
HERATEST3	157.373159	-42.609479	1	100000000.0
HERATEST4	154.69057	-42.611213	1	100000000.0
HERATEST5	153.349706	-42.593416	1	100000000.0
HERATEST6	152.009767	-42.563193	1	100000000.0
HERATEST7	150.671227	-42.520572	1	100000000.0
HERATEST8	149.334557	-42.465588	1	100000000.0
HERATEST9	144.015723	-42.123164	1	100000000.0
HERATEST10	142.695178	-42.007305	1	100000000.0
HERATEST11	138.762144	-41.588651	1	100000000.0
HERATEST12	137.461933	-41.425794	1	100000000.0
HERATEST13	134.879819	-41.065902	1	100000000.0
HERATEST14	128.545365	-39.973781	1	100000000.0
HERATEST15	127.30125	-39.72368	1	100000000.0
HERATEST16	159.995945	-41.5593	1	100000000.0
HERATEST17	158.674974	-41.590499	1	100000000.0
HERATEST18	154.708301	-41.611283	1	100000000.0
HERATEST19	153.386313	-41.59392	1	100000000.0
HERATEST20	149.427289	-41.469163	1	100000000.0
HERATEST21	144.180969	-41.134857	1	100000000.0
HERATEST22	142.877947	-41.021719	1	100000000.0
HERATEST23	138.995614	-40.612798	1	100000000.0
HERATEST24	133.89448	-39.90968	1	100000000.0
HERATEST25	130.135698	-39.268641	1	100000000.0
HERATEST26	128.896907	-39.034114	1	100000000.0
HERATEST27	125.225829	-38.270307	1	100000000.0
HERATEST28	124.017801	-37.996209	1	100000000.0
HERATEST29	159.940744	-40.56055	1	100000000.0
HERATEST30	158.637742	-40.591025	1	100000000.0
HERATEST31	154.725224	-40.611347	1	100000000.0
HERATEST32	153.421271	-40.594401	1	100000000.0
HERATEST33	149.515892	-40.472597	1	100000000.0
HERATEST34	148.217624	-40.408452	1	100000000.0
HERATEST35	146.921787	-40.332613	1	100000000.0
HERATEST36	145.628772	-40.245141	1	100000000.0
HERATEST37	144.338962	-40.146107	1	100000000.0
HERATEST38	134.177996	-38.948742	1	100000000.0
HERATEST39	130.460154	-38.321783	1	100000000.0
HERATEST40	124.401806	-37.076411	1	100000000.0
HERATEST41	159.88795	-39.561749	1	100000000.0
HERATEST42	158.60213	-39.591527	1	100000000.0
HERATEST43	156.028458	-39.616364	1	100000000.0
HERATEST44	154.741385	-39.611404	1	100000000.0
HERATEST45	145.763592	-39.253701	1	100000000.0
HERATEST46	144.490103	-39.156941	1	100000000.0
HERATEST47	138.179482	-38.506446	1	100000000.0
HERATEST48	136.930939	-38.34369	1	100000000.0
HERATEST49	135.687604	-38.170307	1	100000000.0
HERATEST50	134.449743	-37.986423	1	100000000.0
HERATEST51	131.991429	-37.587674	1	100000000.0
HERATEST52	130.771433	-37.373086	1	100000000.0
HERATEST53	125.957158	-36.416751	1	100000000.0
HERATEST54	124.770857	-36.153949	1	100000000.0
HERATEST55	123.591744	-35.881983	1	100000000.0
HERATEST56	159.837429	-38.562901	1	100000000.0
HERATEST57	158.568046	-38.592007	1	100000000.0
HERATEST58	157.297909	-38.609809	1	100000000.0
HERATEST59	156.027381	-38.616294	1	100000000.0
HERATEST60	154.756827	-38.611456	1	100000000.0
HERATEST61	148.41638	-38.417858	1	100000000.0
HERATEST62	145.89261	-38.26195	1	100000000.0
HERATEST63	144.634765	-38.167382	1	100000000.0
HERATEST64	139.637866	-37.680073	1	100000000.0
HERATEST65	138.398779	-37.53143	1	100000000.0
HERATEST66	137.164318	-37.372261	1	100000000.0
HERATEST67	135.934745	-37.202678	1	100000000.0
HERATEST68	131.070173	-36.42265	1	100000000.0
HERATEST69	159.789057	-37.564008	1	100000000.0
HERATEST70	158.535409	-37.592466	1	100000000.0
HERATEST71	154.771589	-37.611502	1	100000000.0
HERATEST72	153.517161	-37.595719	1	100000000.0
HERATEST73	147.261609	-37.351543	1	100000000.0
HERATEST74	146.016136	-37.269906	1	100000000.0
HERATEST75	139.834234	-36.700938	1	100000000.0
HERATEST76	134.960259	-36.057944	1	100000000.0
HERATEST77	131.35697	-35.470569	1	100000000.0
HERATEST78	130.166939	-35.25541	1	100000000.0
HERATEST79	159.742719	-36.565072	1	100000000.0
HERATEST80	158.50414	-36.592905	1	100000000.0
HERATEST81	154.785706	-36.611543	1	100000000.0
HERATEST82	153.546395	-36.59612	1	100000000.0
HERATEST83	147.365378	-36.357409	1	100000000.0
HERATEST84	146.134457	-36.277584	1	100000000.0
HERATEST85	140.022491	-35.721096	1	100000000.0
HERATEST86	135.200096	-35.091924	1	100000000.0
HERATEST87	131.632384	-34.51693	1	100000000.0
HERATEST88	130.453565	-34.30625	1	100000000.0
HERATEST89	125.794799	-33.371928	1	100000000.0
HERATEST90	159.69831	-35.566097	1	100000000.0
HERATEST91	158.474168	-35.593326	1	100000000.0
HERATEST92	157.249405	-35.609989	1	100000000.0
HERATEST93	156.024319	-35.616075	1	100000000.0
HERATEST94	154.799212	-35.611579	1	100000000.0
HERATEST95	147.464801	-35.363075	1	100000000.0
HERATEST96	139.003882	-34.601398	1	100000000.0
HERATEST97	137.808562	-34.452307	1	100000000.0
HERATEST98	136.617297	-34.293407	1	100000000.0
HERATEST99	135.430304	-34.1248	1	100000000.0
HERATEST100	129.566168	-33.140018	1	100000000.0
HERATEST101	127.256732	-32.682202	1	100000000.0
HERATEST102	126.110353	-32.440116	1	100000000.0
